,3950,3951,3952,3953,3954,3955
2022-01-01,0,0,0,0,0,0
2022-01-02,0,2.00,4.00,5.75,5.75,2.20
2022-01-03,2.00,0,0,2.20,0,0
2022-01-04,0,0,0,0,0,0
2022-01-05,0,0,0,0,0,0
2022-01-06,6.00,6.00,4.00,2.65,7.05,6.15
2022-01-07,0,0,0,5.70,6.15,7.50
2022-01-08,4.30,4.00,4.30,3.95,3.50,4.40
2022-01-09,2.00,2.00,2.00,0,2.20,4.40
2022-01-10,0,0,0,0,0,0
2022-01-11,2.00,2.00,0,1.75,1.75,0
2022-01-12,2.00,0,4.30,10.20,10.60,4.85
2022-01-13,0,0,0,0,0,0
2022-01-14,0,0,2.00,0,2.20,0
2022-01-15,2.00,4.00,4.00,1.75,3.50,3.50
2022-01-16,2.00,0,2.00,2.20,2.20,0
2022-01-17,2.00,2.00,2.00,1.75,1.75,0
2022-01-18,6.30,0,4.30,5.70,3.50,1.75
2022-01-19,2.00,0,2.00,0,1.75,0
2022-01-20,4.00,2.00,2.00,0,3.10,3.55
2022-01-21,0,0,0,0,0,0
2022-01-22,4.00,2.00,0,0,4.00,4.00
2022-01-23,2.00,2.00,0,6.20,4.85,4.45
2022-01-24,0,0,0,0,0,0
2022-01-25,6.00,2.00,2.30,1.75,5.70,3.50
2022-01-26,6.00,6.00,0,1.75,3.95,6.15
2022-01-27,0,0,0,0,0,0
2022-01-28,0,0,0,0,0,0
2022-01-29,0,0,2.00,0,2.20,0
2022-01-30,0,0,0,0,0,0
2022-01-31,2.30,0,2.30,2.65,2.65,0
2022-02-01,6.00,2.00,0,0,5.30,1.75
2022-02-02,0,0,2.00,5.75,3.55,5.75
2022-02-03,2.00,0,0,0,0,2.20
2022-02-04,6.30,2.00,4.60,5.25,5.25,7.00
2022-02-05,6.30,0,2.00,2.65,4.85,0
2022-02-06,2.00,2.00,4.00,5.75,2.65,0
2022-02-07,0,0,0,0,0,0
2022-02-08,0,0,0,0,0,0
2022-02-09,2.00,2.00,0,0,4.40,2.20
2022-02-10,0,0,0,0,0,0
2022-02-11,0,0,0,0,0,0
2022-02-12,6.00,2.00,4.00,7.00,5.70,1.75
2022-02-13,0,2.00,2.00,3.55,5.30,4.00
2022-02-14,0,0,2.00,1.75,1.75,0
2022-02-15,4.00,2.00,2.00,3.10,7.95,0
2022-02-16,4.00,2.00,2.00,0,0,0
2022-02-17,2.30,0,2.30,2.65,2.65,0
2022-02-18,0,0,0,0,0,0
2022-02-19,6.00,4.30,4.00,7.45,12.30,0
2022-02-20,6.00,4.00,4.00,5.75,7.05,0
2022-02-21,4.00,2.00,2.00,2.20,5.25,0
2022-02-22,4.00,2.00,2.00,9.25,11.45,0
2022-02-23,2.00,2.00,2.00,2.20,2.20,0
2022-02-24,0,0,0,0,0,0
2022-02-25,4.00,4.00,4.00,7.55,6.60,0
2022-02-26,4.00,4.00,4.00,5.70,5.70,0
2022-02-27,4.00,4.00,2.00,5.75,5.75,0
2022-02-28,4.00,4.00,0,6.65,8.40,0
2022-03-01,2.30,0,0,2.20,2.20,0
2022-03-02,0,0,0,0,0,0
2022-03-03,0,0,0,0,0,0
2022-03-04,2.00,0,0,0,1.75,0
2022-03-05,4.30,2.30,4.00,3.50,5.70,1.75
2022-03-06,0,2.00,2.00,11.05,11.10,2.20
2022-03-07,2.00,2.00,0,0,1.75,0
2022-03-08,4.00,4.00,4.00,7.00,7.00,1.75
2022-03-09,2.00,2.00,2.00,3.10,4.85,0
2022-03-10,2.00,0,0,1.75,1.75,0
2022-03-11,2.00,2.00,2.00,3.50,3.50,1.75
2022-03-12,4.00,4.00,0,3.50,3.50,1.75
2022-03-13,6.00,6.00,4.00,7.50,7.05,5.30
2022-03-14,2.00,2.00,0,0,2.65,0
2022-03-15,4.00,2.00,0,4.85,1.75,6.25
2022-03-16,2.30,2.30,2.00,3.95,2.65,4.40
2022-03-17,0,0,0,0,0,0
2022-03-18,4.30,4.00,0,3.50,8.75,0
2022-03-19,4.00,2.00,0,5.25,9.25,0
2022-03-20,0,2.00,4.00,2.20,2.20,3.95
2022-03-21,2.00,2.00,0,0,1.75,1.75
2022-03-22,0,0,0,4.45,7.55,0
2022-03-23,0,0,0,0,0,0
2022-03-24,0,0,0,0,0,0
2022-03-25,2.00,0,0,1.75,0,0
2022-03-26,2.30,2.30,4.30,5.25,3.50,0
2022-03-27,8.00,10.00,6.00,11.45,9.65,4.45
2022-03-28,2.00,2.00,0,0,0,0
2022-03-29,0,0,0,0,0,0
2022-03-30,2.00,4.00,2.00,5.70,5.25,0
2022-03-31,2.00,0,2.00,2.20,2.65,0
2022-04-01,2.00,2.00,2.00,3.50,3.50,0
2022-04-02,2.30,2.30,2.30,3.50,3.50,0
2022-04-03,4.00,2.00,6.00,7.90,2.20,0
2022-04-04,4.00,4.00,0,3.50,3.50,0
2022-04-05,4.00,0,0,0,2.20,0
2022-04-06,2.00,2.00,2.30,2.20,2.20,1.75
2022-04-07,2.00,0,0,0,1.75,0
2022-04-08,2.30,2.00,2.00,3.50,3.50,1.75
2022-04-09,6.60,4.30,4.30,7.50,5.25,5.75
2022-04-10,6.60,2.30,2.30,4.00,5.75,4.00
2022-04-11,6.00,4.00,0,1.75,3.50,0
2022-04-12,2.00,0,2.00,1.75,1.75,1.75
2022-04-13,4.30,2.00,2.00,3.50,3.50,0
